fast,slow,confirm_n,sl_value,tp_value,num_trades,win_rate_pct,total_return_pct,profit_factor,expectancy_per_trade,sharpe,sortino,max_drawdown_pct,long_trades,short_trades,final_cash
100,200,1,1.0,3.0,96.0,29.166666666666668,-1.6692908010049856,0.9805117411133463,-1.7388445843802913,-0.02296070016049723,-0.02388940607672443,20.481377570510926,96.0,0.0,9833.070919899501
50,150,3,1.0,3.0,96.0,28.125,-5.44438890860145,0.9374133254014861,-5.671238446459834,-0.3933758292275613,-0.412127479946909,24.51530162998371,96.0,0.0,9455.561109139855
50,200,3,1.0,3.0,96.0,28.125,-5.4443941279321395,0.9372066439471123,-5.67124388326265,-0.39617242285543647,-0.41199214954089997,23.61686898400097,96.0,0.0,9455.560587206786
50,150,5,1.0,3.0,93.0,27.956989247311824,-5.835696084275421,0.9307601060687559,-6.274942026102684,-0.43337071324291626,-0.4532095235641628,24.82769060258136,93.0,0.0,9416.430391572458
50,200,5,1.0,3.0,93.0,27.956989247311824,-5.8359003510898955,0.9307872802355045,-6.27516166783866,-0.4376846015816857,-0.4568674132491717,24.827680833668932,93.0,0.0,9416.40996489101
100,200,3,1.0,3.0,93.0,27.956989247311824,-5.88249895388846,0.9301225189308727,-6.3252676923531945,-0.4770237185237142,-0.48618709192657283,24.717938347489202,93.0,0.0,9411.750104611154
100,150,3,1.0,3.0,93.0,27.956989247311824,-5.882413574070577,0.930423486801546,-6.325175886097415,-0.48110318490868126,-0.48799062266032084,25.603391332797443,93.0,0.0,9411.758642592942
100,150,3,1.0,2.0,110.0,38.18181818181819,-5.914820674224397,0.9315471580462451,-5.377109703840403,-0.5051684123436931,-0.5037727884439337,24.65117383872283,110.0,0.0,9408.51793257756
100,200,3,1.0,2.0,114.0,37.719298245614034,-5.958882594360371,0.9326133881141782,-5.227089995052873,-0.510003900800847,-0.5082697096068279,23.279054602419922,114.0,0.0,9404.111740563963
20,200,3,1.0,3.0,101.0,27.722772277227726,-7.308202182326406,0.9191761857457024,-7.2358437448776005,-0.555614986811967,-0.5814636851264012,24.609229464811598,101.0,0.0,9269.17978176736
20,200,5,1.0,3.0,101.0,27.722772277227726,-7.30818990141916,0.9191763309776017,-7.2358315855634725,-0.5562322843338423,-0.5818575688252283,24.609230414606667,101.0,0.0,9269.181009858085
20,150,5,1.0,3.0,103.0,27.184466019417474,-9.475088132842613,0.8949417334262377,-9.199114692080267,-0.7523137260800653,-0.7918665144157624,26.022921266901484,103.0,0.0,9052.491186715739
100,150,5,1.0,2.0,107.0,37.38317757009346,-8.170254931387477,0.9018760442835313,-7.635752272324632,-0.7753500574596551,-0.7654052469492386,25.537369446019387,107.0,0.0,9182.974506861252
100,150,1,1.0,3.0,100.0,27.0,-9.858715077122437,0.8866793693558173,-9.858715077122527,-0.8023553170314933,-0.8430899080032549,27.01797783908923,100.0,0.0,9014.128492287757
100,150,1,1.0,2.0,136.0,36.76470588235294,-10.64609671379303,0.8997088355899906,-7.828012289553733,-0.9370987238772288,-0.9713040450564266,27.114004248144376,136.0,0.0,8935.390328620697
100,150,5,1.0,3.0,90.0,26.666666666666668,-9.91463618275027,0.8777508597090042,-11.016262425278194,-0.941209498401967,-0.9444880028177424,27.643724570998707,90.0,0.0,9008.536381724973
20,150,3,1.0,3.0,105.0,26.666666666666668,-11.592097885422225,0.8732072434206506,-11.040093224211732,-0.9603441228829959,-1.0098058149677303,27.75294446068421,105.0,0.0,8840.790211457777
100,200,5,1.0,3.0,94.0,26.595744680851062,-10.60423083619213,0.8755907578882316,-11.281096634246913,-1.005444682169233,-1.013261397445153,28.494725049480813,94.0,0.0,8939.576916380787
100,200,5,1.0,2.0,113.0,36.283185840707965,-10.359217198145165,0.8830740308469802,-9.167448847916074,-1.015913880656865,-1.006738666113396,26.868941158517778,113.0,0.0,8964.078280185484
50,150,5,1.0,2.0,128.0,36.71875,-11.708980400781988,0.8825694900383503,-9.147640938111026,-1.1115189864327066,-1.127416909635719,27.039434472315698,128.0,0.0,8829.101959921802
50,150,1,1.0,3.0,103.0,26.21359223300971,-12.959176383974114,0.8571824229129071,-12.581724644635049,-1.1327931579662223,-1.1922673466400515,29.46549274336257,103.0,0.0,8704.082361602588
20,200,3,1.0,2.0,139.0,36.69064748201439,-12.741334010928785,0.8819987510476001,-9.166427345991991,-1.1632739757116777,-1.2068716548423586,28.791795802936942,139.0,0.0,8725.866598907121
20,200,5,1.0,2.0,139.0,36.69064748201439,-12.741322329721383,0.8819988735210504,-9.16641894224556,-1.163870231075477,-1.206875773518744,28.79179670003889,139.0,0.0,8725.867767027861
20,200,1,1.0,3.0,108.0,25.925925925925924,-14.67509486246692,0.8435402708404891,-13.588050798580547,-1.284144807250365,-1.348169121759672,30.272373632680072,108.0,0.0,8532.490513753308
50,150,3,1.0,2.0,133.0,36.09022556390977,-14.256719986630195,0.8618126842038948,-10.719338335812065,-1.3966033549463652,-1.4209892097653245,29.07167522297136,133.0,0.0,8574.32800133698
100,200,1,1.0,2.0,130.0,35.38461538461539,-14.879403658834656,0.8512885811585678,-11.445695122180503,-1.4471017623579843,-1.4659307466338367,30.381564974306002,130.0,0.0,8512.059634116535
50,200,5,1.0,2.0,126.0,35.714285714285715,-14.839459185471437,0.8462532917835013,-11.777348559898018,-1.4744846788992565,-1.4874841302151103,28.27090023148277,126.0,0.0,8516.054081452856
50,200,1,1.0,3.0,106.0,25.471698113207548,-15.99449483641009,0.8271226964945672,-15.089146072084885,-1.4811154088716127,-1.5344380447476256,31.242913524559306,106.0,0.0,8400.550516358991
100,150,3,0.6,3.0,165.0,29.09090909090909,-12.73245111386343,0.8598977091592754,-7.7166370387050955,-1.4899249533787364,-1.3833794996509348,23.813857091741045,165.0,0.0,8726.754888613657
20,150,1,1.0,3.0,111.0,25.225225225225223,-17.650345229065103,0.8154510462659882,-15.901211918076665,-1.5530552447783315,-1.6432956771847442,32.70375053071242,111.0,0.0,8234.96547709349
50,200,3,1.0,2.0,128.0,35.15625,-16.830975655897397,0.8286347796684066,-13.149199731170015,-1.7105858159036982,-1.7264742738231333,29.94831658219551,128.0,0.0,8316.90243441026
20,150,5,1.0,2.0,145.0,35.172413793103445,-18.720338349634535,0.829973205713269,-12.910578172161642,-1.794766639046148,-1.865957651515786,33.09891285878719,145.0,0.0,8127.966165036546
20,150,3,1.0,2.0,148.0,35.13513513513514,-19.17565932547015,0.8295091784883369,-12.95652657126358,-1.8356065119564933,-1.9082126696036201,33.473686420377966,148.0,0.0,8082.434067452985
20,150,1,1.0,2.0,154.0,35.064935064935064,-20.078148177763932,0.8263356316575542,-13.03775855698953,-1.8854731423532942,-1.9873796863206317,33.4336973372167,154.0,0.0,7992.185182223607
50,150,1,1.0,2.0,143.0,34.96503496503497,-19.133283652038358,0.8244852014888278,-13.379918637789077,-1.8959405453809535,-1.9577782157527626,32.98123166507116,143.0,0.0,8086.671634796165
20,200,5,1.0,1.5,179.0,42.45810055865922,-19.010352392906093,0.8425704422382485,-10.620308599388846,-1.9332969759422547,-1.9691331235672087,32.63731547849911,179.0,0.0,8098.964760709391
20,200,3,1.0,1.5,177.0,42.3728813559322,-19.11563582134712,0.8398494113068797,-10.799794249348636,-1.934282738736659,-1.9750497441160062,32.72487448284439,177.0,0.0,8088.436417865288
100,150,5,0.6,3.0,163.0,28.22085889570552,-15.494335054529873,0.8261214918306116,-9.50572702731895,-1.943543262955525,-1.7849340624682704,25.789323940680685,163.0,0.0,8450.566494547013
100,200,3,0.6,3.0,171.0,28.07017543859649,-16.71939130781067,0.820404533334825,-9.777421817433193,-1.9971864297226174,-1.8522746246881434,28.419061212720298,171.0,0.0,8328.060869218933
100,150,5,1.0,1.5,141.0,41.843971631205676,-17.552223581055227,0.8129114380062016,-12.448385518479004,-2.027337201081594,-1.9316476716073376,26.438276675043447,141.0,0.0,8244.777641894478
50,150,5,1.0,1.5,153.0,41.830065359477125,-19.124315357347143,0.8174044539193208,-12.499552521141915,-2.0286165962923075,-2.043609018244747,31.181851494619394,153.0,0.0,8087.568464265286
100,200,3,1.0,1.5,146.0,41.78082191780822,-18.310331901759024,0.8135985903950386,-12.541323220382909,-2.0654572810764007,-1.9850447623698908,28.85763444953276,146.0,0.0,8168.966809824097
20,200,1,1.0,2.0,151.0,34.437086092715234,-21.99389939072901,0.8058495770109112,-14.565496285250896,-2.171411600161027,-2.252886610109612,35.79337248322233,151.0,0.0,7800.610060927099
50,200,5,1.0,1.5,154.0,41.55844155844156,-20.075473876994543,0.8089549619797083,-13.036021998048298,-2.1714357765874897,-2.1779730196960423,31.991205363763374,154.0,0.0,7992.452612300545
100,150,1,1.0,1.5,164.0,41.46341463414634,-21.37501008362164,0.8031922096809239,-13.033542733915644,-2.2103853047026525,-2.2378231162199844,31.473005814341214,164.0,0.0,7862.498991637836
